ARTH383 0 8 0101 30 04161 |A. Volk|
ARTH444 9 0 0101 30 04191 |W. Pressly|
ARTH496 0 6 0101 10 04261 |A. Georgievska-Shine|
ARTH738 0 1 0101 8 04294 |A. Colantuono|
ARTH739 0 1 0101 8 04304 |A. Wheelock|
ARTH759 0 4 0101 8 04314 |J. Shannon|
ARTH779 0 1 0101 8 04324 |A. Volk|
ARTH789 0 3 0101 8 04334 |S. Hill|
ARTT100 1 0 0101 18 04472 |A. Peace|
ARTT100 1 0 0201 18 04473 |A. Peace|
ARTT100 1 0 0301 18 04474 |W. Jacobs|
ARTT100 1 0 0401 18 04475 |W. Jacobs|
ARTT100 0 0 0501 18 04476 |W. Jacobs|
ARTT100 0 11 0601 18 04477 |W. Jacobs|
ARTT100 9 0 0701 18 04478 |J. Thorpe|
ARTT100 8 0 0801 18 04479 |J. Thorpe|
ARTT100 6 0 0901 18 04480 |L. Berns|
ARTT100 6 0 1001 18 04481 |L. Berns|
ARTT110 10 0 0101 18 04492 |T. Lapinski|
ARTT110 8 0 0201 18 04493 |T. Lapinski|
ARTT110 5 0 0301 15 04494 |J. Pinder|
ARTT110 4 0 0401 15 04495 |J. Pinder|
ARTT110 2 0 0501 18 04496 |A. Nelson|
ARTT110 1 0 0601 18 04497 |A. Nelson|
ARTT110 0 0 0701 18 04498 |D. Knobel|
ARTT110 1 0 0801 18 04499 |D. Knobel|
ARTT110 0 0 0901 18 04500 |D. Gavin|
ARTT110 0 8 1001 18 04501 |D. Gavin|
ARTT200 0 18 0101 18 04526 |F. Sham|
ARTT200 4 0 0201 18 04527 |S. Jones|
ARTT200 4 0 0301 18 04528 |Z. Jackson|
ARTT200 8 0 0401 18 04529 |J. Stone|
ARTT210 4 0 0101 18 04549 |W. Richardson|
ARTT210 5 0 0201 18 04550 |T. Horjus|
ARTT210 3 0 0301 18 04551 |L. Berns|
ARTT210 4 0 0401 18 04552 |P. Kehoe|
ARTT320 8 0 0101 20 04563 |E. Conover|
ARTT320 11 0 0201 20 04564 |W. Richardson|
ARTT320 8 0 0301 15 04565 |R. Klank|
ARTT330 11 0 0101 14 04575 |S. Jones|
ARTT331 7 0 0101 14 04585 |J. Burrowes|
ARTT333 9 0 0101 12 04595 |F. Sham|
ARTT333H 0 2 0101 2 04605 |F. Sham|
ARTT340 10 0 0101 12 04615 |M. Humphrey|
ARTT343 16 0 0101 8 04625 |J. Strom|
ARTT343H 0 2 0101 2 04635 |J. Strom|
ARTT344 9 0 0101 12 04645 |M. Humphrey|
ARTT350 0 0 0101 20 04655 |A. Buck-Coleman|
ARTT351 0 2 0101 20 04665 |J. Thorpe|
ARTT352 0 1 0101 20 04675 |A. Buck-Coleman|
ARTT353 13 0 0101 10 04686 |S. Devore|
ARTT354 2 0 0101 14 04696 |N. Ratnapala|
ARTT354 0 0 0201 12 04697 |N. Ratnapala|
ARTT354 0 0 0301 12 04698 |N. Ratnapala|
ARTT354 1 0 0401 12 04699 |N. Ratnapala|
ARTT354 1 0 0501 12 04700 |N. Ratnapala|
ARTT768 0 12 0101 18 05248 |H. Elahi|
ASTR100 0 0 0101 40 05353 |L. Mundy|
ASTR100 0 0 0102 40 05354 |L. Mundy|
ASTR100 0 12 0103 40 05355 |L. Mundy|
ASTR100 0 0 0104 40 05356 |L. Mundy|
ASTR100 0 1 0105 40 05357 |L. Mundy|
ASTR100 0 18 0106 40 05358 |L. Mundy|
ASTR100 0 4 0201 40 05359 |M. Hayes-Gehrke|
ASTR100 0 18 0202 40 05360 |M. Hayes-Gehrke|
ASTR100 0 33 0203 40 05361 |M. Hayes-Gehrke|
ASTR100 0 25 0204 40 05362 |M. Hayes-Gehrke|
ASTR101 1 0 0101 20 05372 |G. Deming|
ASTR101 0 0 0102 20 05373 |G. Deming|
ASTR101 0 1 0103 20 05374 |G. Deming|
ASTR101 0 0 0104 20 05375 |G. Deming|
ASTR101 0 0 0105 20 05376 |G. Deming|
ASTR101 0 2 0106 20 05377 |G. Deming|
ASTR101 1 0 0107 20 05378 |G. Deming|
ASTR101 0 0 0108 20 05379 |G. Deming|
ASTR121 0 0 0101 15 05389 |D. Richardson|
ASTR121 1 0 0201 15 05390 |D. Richardson|
ASTR300 0 8 0101 50 05439 |J. Harrington|
ASTR320 3 0 0101 20 05449 |E. Ostriker|
ASTR330 0 5 0101 50 05459 |A. Peel|
ASTR340 0 0 0101 50 05469 |M. Ricotti|
ASTR380 0 15 0101 50 05479 |A. Harris|
ASTR421 0 6 0101 20 05506 |S. McGaugh|
ASTR450 0 11 0101 20 05516 |D. Hamilton|
ASTR670 0 11 0101 20 05544 |A. Bolatto|
ASTR680 0 11 0101 20 05554 |R. Mushotzky|
ASTR695 0 14 0101 20 05564 |D. Hamilton|
BCHM462 0 41 0101 140 05703 |G. Lorimer|
BCHM463 0 10 0101 125 05713 |J. Watson|
BCHM464 0 2 0101 18 05724 |J. Watson|
BCHM464 0 0 0102 18 05725 |J. Watson|
BCHM465 0 21 0101 80 05735 |J. Kahn|
BCHM485 0 5 0101 45 05745 |D. Fushman|
BCHM669 0 15 0101 20 05755 |V. Tugarinov|
BCHM675 0 16 0101 25 05765 |D. Beckett|
BCHM676 0 18 0101 30 05775 |C. Fenselau|
BCHM889B 0 10 0101 10 05909 STAFF
BIOE120 0 10 0101 110 06259 |G. Sriram|
BIOE121 0 1 0101 15 06269 |Y. Yu|
BIOE121 0 3 0102 15 06270 |Y. Yu|
BIOE150 11 0 0101 30 06280 |G. Rahmoeller|
BIOE232 0 28 0101 39 06290 |K. Herold|
BIOE232 0 7 0102 39 06291 |K. Herold|
BIOE232 0 15 0103 39 06292 |K. Herold|
BIOE241 0 11 0101 35 06302 |H. Montas|
BIOE241 0 0 0201 35 06303 |H. Montas|
BIOE332 0 7 0101 35 06313 |A. Johnson|
BIOE332 0 5 0102 35 06314 |A. Johnson|
BIOE404 0 0 0101 60 06342 |A. Hsieh|
BIOE411 0 17 0101 60 06352 |J. Fisher|
BIOE420 0 9 0101 70 06362 |Y. Chen|
BIOE431 0 0 0101 10 06372 |I. White|
BIOE450 0 7 0101 25 06382 |S. Shah|
BIOE453 0 0 0101 70 06392 |J. Seog|
BIOE454 0 0 0101 30 06402 |J. Seog|
BIOE454 0 4 0102 30 06403 |J. Seog|
BIOE484 0 28 0101 30 06404 |A. Johnson|
BIOE603 0 7 0101 25 06430 |S. Shah|
BIOE606 0 8 0101 15 06440 |S. Shah|
BIOE608 0 17 0101 20 06450 |S. Shah|
BIOE611 0 8 0101 10 06460 |J. Fisher|
BIOE612 0 5 0101 20 06470 |S. Muro Galindo|
BIOE621 0 13 0101 15 06471 |Y. Yu|
BIOE631 0 11 0101 20 06481 |I. White|
BIOE640 0 19 0101 25 06491 |R. Briber|
BIOE653 0 3 0101 7 06492 |J. Seog|
BIOL600 0 13 0101 16 06686 |A. Popper <a href = "http://www.bsos.umd.edu/psyc/batlab/people/cindy.html"> and C. Moss</a> and P. DeShong and R. Dooling|
BIOL600 0 0 0201 16 06687 |C. Moss</a> and R. Dooling|
BIOM301 18 0 0101 28 07071 |C. Hakenkamp|
BIOM301 17 0 0102 28 07072 |C. Hakenkamp|
BIOM301 18 0 0103 28 07073 |C. Hakenkamp|
BIOM301 14 0 0104 28 07074 |C. Hakenkamp|
